Record_ID,Date,Buyer_ID,Country,Industry,Avg_Order_Tons,Revenue_Size_USD,Team_Size,Certification,Good_Payment_History,Prompt_Response,Hiring_Growth,Funding_Event,Engagement_Spike,SalesNav_ProfileVisits,DecisionMaker_Change,Intent_Score,Preferred_Channel,Response_Probability,Tariff_News,StockMarket_Shock,War_Event,Natural_Calamity,Currency_Fluctuation
1,2021-01-20,BUY_69687,Netherlands,Solar,,78513552,1277,IEC,1,0.92,0,1,0,9824,1,0.83,Email,0.57,1,1,1,1,0.13
2,2022-04-17,BUY_53812,Canada,Medical Devices,5655.0,189569958,1459,ISO9001,1,0.36,0,1,0,695,1,0.78,LinkedIn,0.15,1,0,1,0,-0.43
3,2022-12-11,BUY_81457,Australia,Engineering,3620.0,58839960,1650,ISO9001,1,0.69,1,Unknown,0,2886,1,0.01,Email,,1,1,0,1,0.94
4,2022-07-09,BUY_88976,Australia,Machinery,4175.0,87508310,6373,,1,0.76,0,1,0,14992,1,0.1,WhatsApp,,0,0,0,0,0.65
5,2024-12-17,BUY_29815,Italy,Medical Devices,3838.0,178186236,2554,ISO9001,1,0.17,1,0,0,5824,1,0.15,WhatsApp,0.77,0,1,1,1,0.45
6,2022-08-16,BUY_79816,Singapore,IT Software,6873.0,111333963,1981,ISO27001,1,0.6,1,0,0,1618,0,0.99,LinkedIn,,0,0,1,1,-0.59
7,2022-06-07,BUY_29428,Australia,Textiles,,87757799,4150,ISO9001,1,0.64,1,0,1,19747,1,0.69,,,0,1,1,1,-1.0
8,2022-11-26,BUY_96059,USA,IT Software,,48465720,4510,GDPR,1,0.82,1,Unknown,0,1949,1,0.58,Email,0.12,0,0,1,1,-0.16
9,2025-02-05,BUY_64959,Japan,Solar,2198.0,179085408,318,UL,1,0.47,1,1,1,12685,1,0.52,LinkedIn,,0,1,0,1,-0.04
10,2021-08-12,BUY_57359,UK,Machinery,,94298156,6085,ISO9001,0,0.2,1,Unknown,0,3457,1,0.98,WhatsApp,0.31,1,1,1,0,0.07
11,2022-11-11,BUY_11268,Netherlands,Solar,,1775939,5196,UL,0,0.62,0,Unknown,1,14136,1,0.05,WhatsApp,,1,1,1,1,0.32
12,2024-02-01,BUY_92740,France,Engineering,,39500757,1506,ISO14001,0,0.05,0,0,1,8585,1,0.26,LinkedIn,0.2,0,1,1,1,-0.73
13,2022-05-03,BUY_23894,Australia,Electronics,7064.0,48188324,3938,,0,0.81,1,Unknown,1,6618,1,0.77,,,0,0,0,0,-0.24
14,2023-01-13,BUY_19509,Canada,Pharmaceuticals,,122468126,5238,EU-GMP,0,0.3,0,1,0,5874,0,0.12,LinkedIn,,1,1,1,1,0.78
